id,project_name,job_name,workflow_name,step,labels
18,xnio/xnio,nio-impl-hotspot-11-macos-latest,XNIO CI,Run Tests,['macos-latest']
44,xnio/xnio,api-hotspot-11-macos-latest,XNIO CI,Run Tests,['macos-latest']
51,xnio/xnio,nio-impl-hotspot-8-macos-latest,XNIO CI,Run Tests,['macos-latest']
86,xnio/xnio,nio-impl-hotspot-11-windows-latest,XNIO CI,Run Tests,['windows-latest']
215,lukas-krecan/shedlock,build (17),CI,Build with Maven,['ubuntu-latest']
217,playframework/play1,Check / Tests -> JDK-11/ubuntu-latest,Pull Requests,Build with Ant,['ubuntu-latest']
258,apache/submarine,"unit (3.9, 2.6.0)",python-sdk,Run unit test,['ubuntu-latest']
264,apache/submarine,"unit (3.8, 2.6.0)",python-sdk,Run unit test,['ubuntu-latest']
339,ocpsoft/rewrite,"Integration tests (Java 17, Jakarta EE 10, Container PAYARA_MANAGED)",Maven,"Run ./mvnw -V --batch-mode -P PAYARA_MANAGED,EE10 verify",['ubuntu-latest']
343,ocpsoft/rewrite,"integration-test (18, WILDFLY_MANAGED)",Java CI with Maven,Run ./mvnw -V --batch-mode -P WILDFLY_MANAGED verify,['ubuntu-latest']
344,previousalone/nnngram,Gradle Build,Build CI,Prepare Environment,['ubuntu-latest']
377,jfrog/jfrog-idea-plugin,Python Tests on windows-latest,Test,Python Tests on windows-latest,['windows-latest']
430,wiremock/wiremock,"build (macos-latest, 17)",Build and test,Test WireMock,['macos-latest']
440,eclipse-vertx/vert.x,"Run tests (ubuntu-latest, 8, -PtestNativeTransport)",vertx-core (4.x),Run tests,['ubuntu-latest']
472,sqlancer/sqlancer,QPG Tests (Materialize),ci,Run Tests,['ubuntu-latest']
484,sqlancer/sqlancer,DBMS Tests (MariaDB),ci,Run Tests,['ubuntu-latest']
586,sqlancer/sqlancer,QPG Tests (Materialize),ci,Run Tests,['ubuntu-latest']
643,sqlancer/sqlancer,DBMS Tests (MariaDB),ci,Run Tests,['ubuntu-latest']
647,sqlancer/sqlancer,DBMS Tests (MariaDB),ci,Run Tests,['ubuntu-latest']
655,sqlancer/sqlancer,DBMS Tests (Citus),ci,Run Tests,['ubuntu-latest']
706,corretto/corretto-8,Update Corretto-8,Refresh from Upstream-dev,Merge Corretto-8,['ubuntu-latest']
720,hyperledger/fabric-chaincode-java,test / intergationtest,Pull request,Integration Tests,['ubuntu-latest']
828,spring-cloud/stream-applications,test,CI - Integration Tests,Action: Execute Integration Tests,['ubuntu-latest']
842,spring-cloud/stream-applications,build / processors (aggregator-processor),CI - Main,Build: aggregator-processor,['ubuntu-latest']
890,spring-cloud/stream-applications,build / sinks (kafka-sink),CI - Main,Build: kafka-sink,['ubuntu-latest']
926,kagkarlsson/db-scheduler,Temurin 11,build,Run all tests,['ubuntu-latest']
1000,ballerina-platform/module-ballerinax-prometheus,build,GraalVM Check,Run Ballerina build using the native executable,['ubuntu-latest']
1025,square/retrofit,jvm,build,Test,['ubuntu-latest']
1052,square/retrofit,android (24),build,Run Tests,['macos-latest']
1092,optyfr/jrommanager,build,Java CI with Gradle,Build with Gradle,['ubuntu-latest']
1103,jenkinsci/code-coverage-api-plugin,label,Enforce PR labels,Run mheap/github-action-required-labels@v5,['ubuntu-latest']
1118,jboss-modules/jboss-modules,adopt-openj9-windows-latest,JBoss Modules CI,Run Tests,['windows-latest']
1123,jboss-modules/jboss-modules,temurin-17-windows-latest,JBoss Modules CI,Run Tests,['windows-latest']
1148,apache/linkis,dead-links-check,Dead Link Check,Build gaurav-nelson/github-action-markdown-link-check@v1,['ubuntu-latest']
1161,banmanagement/banmanager,Java 8 - h2,Java CI,Validate Gradle wrapper,['ubuntu-latest']
1165,davidmoten/rxjava2-extras,build (8),ci,Build with Maven,['ubuntu-latest']
1237,unnamed/command-flow,build,Maven Package,Build with Maven,['ubuntu-latest']
1294,mybatis/jpetstore-6,"Test JDK 17, macOS-latest, resin",Container Support,Test with resin,['macOS-latest']
1395,mybatis/jpetstore-6,"Test JDK 11, ubuntu-latest",Java CI,Test with Maven,['ubuntu-latest']
1414,mybatis/jpetstore-6,"Test JDK 17, macOS-latest, liberty-ee8",Container Support,Test with liberty-ee8,['macOS-latest']
1463,mybatis/jpetstore-6,"Test JDK 17, windows-latest, tomcat85",Container Support,Test with tomcat85,['windows-latest']
